

TrainId=20 Delay=121 FreeRun=1200 	Final Delay=180
T10 Train60 AimedDepartureTime=2857 WaitTime=0 BaseTime=2858 RunTime=288	OptSolTime=3006
T9 Train60 AimedDepartureTime=3145 WaitTime=0 BaseTime=3146 RunTime=635	OptSolTime=3294
T8 Train60 AimedDepartureTime=4080 WaitTime=300 BaseTime=4081 RunTime=770	OptSolTime=4229
T7 Train60 AimedDepartureTime=4850 WaitTime=0 BaseTime=4851 RunTime=241	OptSolTime=4999
T6 Train60 AimedDepartureTime=5091 WaitTime=0 BaseTime=5092 RunTime=669	OptSolTime=5960
T5 Train60 AimedDepartureTime=6000 WaitTime=240 BaseTime=6001 RunTime=613	OptSolTime=8052
T4 Train60 AimedDepartureTime=6613 WaitTime=0 BaseTime=6614 RunTime=266	OptSolTime=8914
T3 Train60 AimedDepartureTime=6879 WaitTime=0 BaseTime=6880 RunTime=480	OptSolTime=9180
T2 Train60 AimedDepartureTime=7359 WaitTime=0 BaseTime=7360 RunTime=215	OptSolTime=9969
T1 Train60 AimedDepartureTime=7574 WaitTime=0 BaseTime=7575 RunTime=286	OptSolTime=10268

TrainId=61 Delay=0 FreeRun=5480 	Final Delay=0
T25 Train61 AimedDepartureTime=720 WaitTime=60 BaseTime=720 RunTime=217	OptSolTime=720
T24 Train61 AimedDepartureTime=937 WaitTime=0 BaseTime=937 RunTime=143	OptSolTime=937
T23 Train61 AimedDepartureTime=1110 WaitTime=30 BaseTime=1110 RunTime=210	OptSolTime=1110
T22 Train61 AimedDepartureTime=1350 WaitTime=30 BaseTime=1350 RunTime=150	OptSolTime=1350
T21 Train61 AimedDepartureTime=1530 WaitTime=30 BaseTime=1530 RunTime=150	OptSolTime=1530
T20 Train61 AimedDepartureTime=1680 WaitTime=0 BaseTime=1680 RunTime=45	OptSolTime=1680
T19 Train61 AimedDepartureTime=1725 WaitTime=0 BaseTime=1725 RunTime=195	OptSolTime=1725
T18 Train61 AimedDepartureTime=1980 WaitTime=60 BaseTime=1980 RunTime=300	OptSolTime=1980
T17 Train61 AimedDepartureTime=2310 WaitTime=30 BaseTime=2310 RunTime=210	OptSolTime=2310
T16 Train61 AimedDepartureTime=2550 WaitTime=30 BaseTime=2550 RunTime=210	OptSolTime=2550
T15 Train61 AimedDepartureTime=2790 WaitTime=30 BaseTime=2790 RunTime=150	OptSolTime=2790
T14 Train61 AimedDepartureTime=2970 WaitTime=30 BaseTime=2970 RunTime=201	OptSolTime=2970
T13 Train61 AimedDepartureTime=3171 WaitTime=0 BaseTime=3171 RunTime=84	OptSolTime=3171
T12 Train61 AimedDepartureTime=3255 WaitTime=0 BaseTime=3255 RunTime=165	OptSolTime=3255
T11 Train61 AimedDepartureTime=3460 WaitTime=40 BaseTime=3460 RunTime=700	OptSolTime=3460
T10 Train61 AimedDepartureTime=4340 WaitTime=180 BaseTime=4340 RunTime=420	OptSolTime=4340
T9 Train61 AimedDepartureTime=4760 WaitTime=0 BaseTime=4760 RunTime=240	OptSolTime=4760
T8 Train61 AimedDepartureTime=5030 WaitTime=30 BaseTime=5030 RunTime=270	OptSolTime=5030
T7 Train61 AimedDepartureTime=5300 WaitTime=0 BaseTime=5300 RunTime=180	OptSolTime=5300
T6 Train61 AimedDepartureTime=5480 WaitTime=0 BaseTime=5480 RunTime=480	OptSolTime=5480

TrainId=62 Delay=121 FreeRun=2390 	Final Delay=373
T11 Train62 AimedDepartureTime=0 WaitTime=0 BaseTime=121 RunTime=380	OptSolTime=121
T12 Train62 AimedDepartureTime=420 WaitTime=40 BaseTime=541 RunTime=121	OptSolTime=541
T13 Train62 AimedDepartureTime=541 WaitTime=0 BaseTime=662 RunTime=80	OptSolTime=662
T14 Train62 AimedDepartureTime=621 WaitTime=0 BaseTime=742 RunTime=189	OptSolTime=742
T15 Train62 AimedDepartureTime=840 WaitTime=30 BaseTime=961 RunTime=150	OptSolTime=1213
T16 Train62 AimedDepartureTime=1020 WaitTime=30 BaseTime=1141 RunTime=90	OptSolTime=1393
T17 Train62 AimedDepartureTime=1140 WaitTime=30 BaseTime=1261 RunTime=150	OptSolTime=1513
T18 Train62 AimedDepartureTime=1320 WaitTime=30 BaseTime=1441 RunTime=240	OptSolTime=1693
T19 Train62 AimedDepartureTime=1740 WaitTime=180 BaseTime=1861 RunTime=90	OptSolTime=2113
T20 Train62 AimedDepartureTime=1830 WaitTime=0 BaseTime=1951 RunTime=30	OptSolTime=2203
T21 Train62 AimedDepartureTime=1860 WaitTime=0 BaseTime=1981 RunTime=150	OptSolTime=2233
T22 Train62 AimedDepartureTime=2040 WaitTime=30 BaseTime=2161 RunTime=90	OptSolTime=2413
T23 Train62 AimedDepartureTime=2160 WaitTime=30 BaseTime=2281 RunTime=90	OptSolTime=2533
T24 Train62 AimedDepartureTime=2280 WaitTime=30 BaseTime=2401 RunTime=110	OptSolTime=2653
T25 Train62 AimedDepartureTime=2390 WaitTime=0 BaseTime=2511 RunTime=190	OptSolTime=2763
