

TrainId=4 Delay=312 FreeRun=3650 	Final Delay=312
T12 Train10 AimedDepartureTime=18081 WaitTime=30 BaseTime=18081 RunTime=240	OptSolTime=18081
T13 Train10 AimedDepartureTime=18501 WaitTime=180 BaseTime=18501 RunTime=330	OptSolTime=18501
T14 Train10 AimedDepartureTime=18861 WaitTime=30 BaseTime=18861 RunTime=210	OptSolTime=18861
T15 Train10 AimedDepartureTime=19101 WaitTime=30 BaseTime=19101 RunTime=100	OptSolTime=19101
T16 Train10 AimedDepartureTime=19221 WaitTime=20 BaseTime=19221 RunTime=150	OptSolTime=19221
T17 Train10 AimedDepartureTime=19401 WaitTime=30 BaseTime=19401 RunTime=240	OptSolTime=19401
T18 Train10 AimedDepartureTime=19641 WaitTime=0 BaseTime=19641 RunTime=180	OptSolTime=19641
T19 Train10 AimedDepartureTime=19821 WaitTime=0 BaseTime=19821 RunTime=180	OptSolTime=19821
T20 Train10 AimedDepartureTime=20001 WaitTime=0 BaseTime=20001 RunTime=30	OptSolTime=20001
T21 Train10 AimedDepartureTime=20061 WaitTime=30 BaseTime=20061 RunTime=240	OptSolTime=20061
T22 Train10 AimedDepartureTime=20301 WaitTime=0 BaseTime=20301 RunTime=240	OptSolTime=20301
T23 Train10 AimedDepartureTime=20721 WaitTime=180 BaseTime=20721 RunTime=330	OptSolTime=20721
T24 Train10 AimedDepartureTime=21081 WaitTime=30 BaseTime=21081 RunTime=220	OptSolTime=21081
T25 Train10 AimedDepartureTime=21321 WaitTime=20 BaseTime=21321 RunTime=390	OptSolTime=21321
T26 Train10 AimedDepartureTime=21741 WaitTime=30 BaseTime=21741 RunTime=120	OptSolTime=21741
T27 Train10 AimedDepartureTime=21861 WaitTime=0 BaseTime=21861 RunTime=120	OptSolTime=21861

TrainId=11 Delay=0 FreeRun=25091 	Final Delay=0
T1 Train11 AimedDepartureTime=18141 WaitTime=0 BaseTime=18141 RunTime=117	OptSolTime=18141
T2 Train11 AimedDepartureTime=18258 WaitTime=0 BaseTime=18258 RunTime=118	OptSolTime=18258
T4 Train11 AimedDepartureTime=18376 WaitTime=0 BaseTime=18376 RunTime=52	OptSolTime=18376
T6 Train11 AimedDepartureTime=18428 WaitTime=0 BaseTime=18428 RunTime=103	OptSolTime=18428
T8 Train11 AimedDepartureTime=18561 WaitTime=30 BaseTime=18561 RunTime=90	OptSolTime=18561
T9 Train11 AimedDepartureTime=18681 WaitTime=30 BaseTime=18681 RunTime=180	OptSolTime=18681
T10 Train11 AimedDepartureTime=18981 WaitTime=120 BaseTime=18981 RunTime=300	OptSolTime=18981
T11 Train11 AimedDepartureTime=19281 WaitTime=0 BaseTime=19281 RunTime=73	OptSolTime=19281
T12 Train11 AimedDepartureTime=19354 WaitTime=0 BaseTime=19354 RunTime=107	OptSolTime=19354
T13 Train11 AimedDepartureTime=19461 WaitTime=0 BaseTime=19461 RunTime=270	OptSolTime=19461
T14 Train11 AimedDepartureTime=19761 WaitTime=30 BaseTime=19761 RunTime=180	OptSolTime=19761
T15 Train11 AimedDepartureTime=19941 WaitTime=0 BaseTime=19941 RunTime=102	OptSolTime=19941
T16 Train11 AimedDepartureTime=20043 WaitTime=0 BaseTime=20043 RunTime=78	OptSolTime=20043
T17 Train11 AimedDepartureTime=20121 WaitTime=0 BaseTime=20121 RunTime=240	OptSolTime=20121
T18 Train11 AimedDepartureTime=20361 WaitTime=0 BaseTime=20361 RunTime=180	OptSolTime=20361
T19 Train11 AimedDepartureTime=20541 WaitTime=0 BaseTime=20541 RunTime=180	OptSolTime=20541
T20 Train11 AimedDepartureTime=20721 WaitTime=0 BaseTime=20721 RunTime=30	OptSolTime=20721
T21 Train11 AimedDepartureTime=20781 WaitTime=30 BaseTime=20781 RunTime=360	OptSolTime=20781
T22 Train11 AimedDepartureTime=21141 WaitTime=0 BaseTime=21141 RunTime=270	OptSolTime=21141
T23 Train11 AimedDepartureTime=21441 WaitTime=30 BaseTime=21441 RunTime=330	OptSolTime=21441
T24 Train11 AimedDepartureTime=21801 WaitTime=30 BaseTime=21801 RunTime=230	OptSolTime=21801
T25 Train11 AimedDepartureTime=22041 WaitTime=10 BaseTime=22041 RunTime=390	OptSolTime=22041
T26 Train11 AimedDepartureTime=22461 WaitTime=30 BaseTime=22461 RunTime=120	OptSolTime=22461
T27 Train11 AimedDepartureTime=22581 WaitTime=0 BaseTime=22581 RunTime=120	OptSolTime=22581
T28 Train11 AimedDepartureTime=22761 WaitTime=60 BaseTime=22761 RunTime=410	OptSolTime=22761
T29 Train11 AimedDepartureTime=23181 WaitTime=10 BaseTime=23181 RunTime=930	OptSolTime=23181
T30 Train11 AimedDepartureTime=24141 WaitTime=30 BaseTime=24141 RunTime=290	OptSolTime=24141
T31 Train11 AimedDepartureTime=24441 WaitTime=10 BaseTime=24441 RunTime=270	OptSolTime=24441
T32 Train11 AimedDepartureTime=24741 WaitTime=30 BaseTime=24741 RunTime=350	OptSolTime=24741
T33 Train11 AimedDepartureTime=25091 WaitTime=0 BaseTime=25091 RunTime=250	OptSolTime=25091

TrainId=12 Delay=0 FreeRun=6141 	Final Delay=0
T8 Train12 AimedDepartureTime=3321 WaitTime=0 BaseTime=3321 RunTime=112	OptSolTime=3321
T9 Train12 AimedDepartureTime=3433 WaitTime=0 BaseTime=3433 RunTime=128	OptSolTime=3433
T10 Train12 AimedDepartureTime=3561 WaitTime=0 BaseTime=3561 RunTime=300	OptSolTime=3561
T11 Train12 AimedDepartureTime=3861 WaitTime=0 BaseTime=3861 RunTime=107	OptSolTime=3861
T12 Train12 AimedDepartureTime=3968 WaitTime=0 BaseTime=3968 RunTime=133	OptSolTime=3968
T13 Train12 AimedDepartureTime=4101 WaitTime=0 BaseTime=4101 RunTime=280	OptSolTime=4101
T14 Train12 AimedDepartureTime=4381 WaitTime=0 BaseTime=4381 RunTime=200	OptSolTime=4381
T15 Train12 AimedDepartureTime=4581 WaitTime=0 BaseTime=4581 RunTime=133	OptSolTime=4581
T16 Train12 AimedDepartureTime=4714 WaitTime=0 BaseTime=4714 RunTime=82	OptSolTime=4714
T17 Train12 AimedDepartureTime=4796 WaitTime=0 BaseTime=4796 RunTime=265	OptSolTime=4796
T18 Train12 AimedDepartureTime=5061 WaitTime=0 BaseTime=5061 RunTime=180	OptSolTime=5061
T19 Train12 AimedDepartureTime=5241 WaitTime=0 BaseTime=5241 RunTime=180	OptSolTime=5241
T20 Train12 AimedDepartureTime=5421 WaitTime=0 BaseTime=5421 RunTime=121	OptSolTime=5421
T21 Train12 AimedDepartureTime=5542 WaitTime=0 BaseTime=5542 RunTime=119	OptSolTime=5542
T22 Train12 AimedDepartureTime=5661 WaitTime=0 BaseTime=5661 RunTime=300	OptSolTime=5661
T23 Train12 AimedDepartureTime=6141 WaitTime=180 BaseTime=6141 RunTime=300	OptSolTime=6141
